Player Name,Player ID,Season,Team,LG,G,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,OPS,GO/AO
Mike Yastrzemski,573262,MLB Career,-,-,554,1846,305,444,852,118,13,88,261,219,10,533,15,8,.241,.327,.462,.789,0.73
Austin Slater,596103,MLB Career,-,-,550,1305,186,336,524,56,9,38,153,154,5,410,45,6,.257,.345,.402,.747,1.75
Heliot Ramos,671218,MLB Career,-,-,34,76,9,12,19,4,0,1,2,6,0,26,0,0,.158,.220,.250,.470,1.53
Wade Meckler,685133,MLB Career,-,-,20,56,6,13,14,1,0,0,4,6,0,25,0,0,.232,.328,.250,.578,1.25
Luis Matos,682641,MLB Career,-,-,76,228,24,57,78,13,1,2,14,20,0,33,3,0,.250,.319,.342,.661,1.06
Mitch Haniger,571745,MLB Career,-,-,625,2375,371,609,1107,122,11,118,351,232,10,648,19,6,.256,.329,.466,.795,0.90
Michael Conforto,624424,MLB Career,-,-,882,2957,458,747,1351,155,4,147,454,414,27,816,22,11,.253,.353,.457,.810,0.98
Brett Wisely,689172,MLB Career,-,-,51,120,10,21,32,5,0,2,8,9,0,40,2,1,.175,.231,.267,.498,0.91
Lamonte Wade Jr,664774,MLB Career,-,-,363,1077,158,260,452,43,7,45,133,150,4,253,10,3,.241,.342,.420,.762,0.71
David Villar,681584,MLB Career,-,-,98,280,36,54,110,12,1,14,36,29,0,103,1,2,.193,.290,.393,.683,0.76
Casey Schmitt,669477,MLB Career,-,-,90,253,28,52,82,15,0,5,30,13,0,65,2,1,.206,.255,.324,.579,0.95
Marco Luciano,682617,MLB Career,-,-,14,39,4,9,12,3,0,0,0,6,0,17,1,0,.231,.333,.308,.641,2.25
Wilmer Flores,527038,MLB Career,-,-,1141,3648,455,962,1610,191,5,149,506,274,9,550,5,3,.264,.319,.441,.760,0.67
Tyler Fitzgerald,666149,MLB Career,-,-,10,32,3,7,15,2,0,2,5,2,0,10,2,0,.219,.265,.469,.734,0.88
Thairo Estrada,642731,MLB Career,-,-,373,1216,173,318,498,55,4,39,148,68,2,266,50,13,.262,.315,.410,.725,1.23
J D Davis,605204,MLB Career,-,-,595,1742,233,454,752,88,3,68,215,198,5,544,7,2,.261,.343,.432,.775,1.34
Blake Sabol,666165,MLB Career,-,-,110,310,36,73,122,10,0,13,44,24,0,117,4,2,.235,.301,.394,.695,0.94
Joey Bart,663698,MLB Career,-,-,162,457,59,100,153,16,2,11,38,32,0,178,2,1,.219,.288,.335,.623,1.09
Patrick Bailey,672275,MLB Career,-,-,97,326,29,76,117,18,1,7,48,21,0,100,1,0,.233,.285,.359,.644,1.07
Leody Taveras,665750,MLB Career,-,-,324,1118,140,273,424,57,8,26,116,79,0,308,43,10,.244,.295,.379,.674,1.01
J P Martinez,679881,MLB Career,-,-,17,40,7,9,13,1,0,1,4,2,0,16,0,0,.225,.250,.325,.575,0.42
Adolis Garcia,666969,MLB Career,-,-,477,1764,276,430,825,90,7,97,299,138,2,563,50,12,.244,.302,.468,.770,0.81
Evan Carter,694497,MLB Career,-,-,23,62,15,19,40,4,1,5,12,12,1,24,3,0,.306,.413,.645,1.058,1.86
Josh H Smith,669701,MLB Career,-,-,163,408,52,78,117,13,1,8,31,53,0,105,5,3,.191,.306,.287,.593,0.74
Marcus Semien,543760,MLB Career,-,-,1343,5245,805,1351,2342,280,33,215,665,517,6,1107,120,36,.258,.325,.447,.772,0.68
Corey Seager,608369,MLB Career,-,-,906,3489,573,1019,1785,230,13,170,543,362,33,692,17,7,.292,.361,.512,.873,1.04
Jonathan Ornelas,680716,MLB Career,-,-,8,7,2,1,1,0,0,0,0,0,0,4,0,0,.143,.250,.143,.393,0.00
Nathaniel Lowe,663993,MLB Career,-,-,546,1992,272,544,879,98,9,73,260,243,8,552,12,2,.273,.355,.441,.796,1.38
Josh Jung,673962,MLB Career,-,-,148,576,84,147,264,29,2,28,84,34,0,190,3,3,.255,.301,.458,.759,0.81
Ezequiel Duran,677649,MLB Career,-,-,180,614,80,161,256,32,3,19,71,35,1,174,12,5,.262,.309,.417,.726,0.88
Sam Huff,669087,MLB Career,-,-,75,195,19,51,90,9,0,10,20,15,1,70,1,0,.262,.314,.462,.776,1.24
Jonah Heim,641680,MLB Career,-,-,353,1166,139,270,465,61,1,44,180,99,2,244,7,1,.232,.292,.399,.691,0.78
Matt Carpenter,572761,MLB Career,-,-,1452,4719,798,1225,2128,322,28,175,644,759,40,1174,28,17,.260,.367,.451,.818,0.65
Fernando Tatis Jr,665487,MLB Career,-,-,414,1611,301,451,875,88,9,106,273,172,8,465,81,17,.280,.353,.543,.896,1.10
Juan Soto,665742,MLB Career,-,-,779,2704,527,768,1418,148,11,160,483,640,65,577,50,19,.284,.421,.524,.945,1.38
Trent Grisham,663757,MLB Career,-,-,547,1753,252,378,672,89,11,61,215,237,3,535,46,10,.216,.316,.383,.699,0.91
Jose Azocar,640492,MLB Career,-,-,153,293,40,73,100,15,3,2,19,16,0,68,13,8,.249,.292,.341,.633,1.21
Eguy Rosario,666703,MLB Career,-,-,18,41,6,10,19,1,1,2,6,2,0,14,0,0,.244,.279,.463,.742,0.55
Tucupita Marcano,672779,MLB Career,-,-,149,406,41,88,130,19,4,5,34,26,0,88,7,4,.217,.269,.320,.589,1.04
Manny Machado,592518,MLB Career,-,-,1583,6216,914,1737,3045,333,18,313,944,563,62,1178,88,36,.279,.339,.490,.829,0.86
Ha Seong Kim,673490,MLB Career,-,-,419,1322,169,324,506,64,5,36,153,148,2,295,56,12,.245,.325,.383,.708,0.82
Jake Cronenworth,630105,MLB Career,-,-,491,1784,262,445,745,102,21,52,227,189,11,348,16,5,.249,.331,.418,.749,0.80
Xander Bogaerts,593428,MLB Career,-,-,1419,5430,835,1580,2478,339,17,175,741,517,20,1097,93,19,.291,.355,.456,.811,1.02
Matthew Batten,676946,MLB Career,-,-,58,139,19,33,46,7,0,2,12,19,0,36,2,2,.237,.338,.331,.669,0.78
Brett Sullivan,664954,MLB Career,-,-,33,81,7,17,23,3,0,1,6,4,0,19,0,0,.210,.244,.284,.528,0.70
Luis Campusano,669134,MLB Career,-,-,77,248,33,68,103,8,0,9,37,12,0,45,0,0,.274,.316,.415,.731,0.83
Taylor Trammell,666211,MLB Career,-,-,116,304,45,51,112,16,0,15,39,39,0,130,4,5,.168,.270,.368,.638,0.90
Julio Rodriguez,677594,MLB Career,-,-,287,1165,186,325,577,62,5,60,178,87,10,320,62,17,.279,.338,.495,.833,1.08
Dylan Moore,664238,MLB Career,-,-,448,1066,158,222,416,54,7,42,131,129,2,378,72,30,.208,.315,.390,.705,0.63
