Player Name,Player ID,Season,Team,LG,W,L,ERA,G,GS,CG,SHO,HLD,SV,SVO,IP,H,R,ER,HR,NP,HB,BB,IBB,SO,AVG,WHIP,GO/AO
Keaton Winn,676775,MLB Career,-,-,1,3,4.68,9,5,0,0,0,1,1,42.1,36,22,22,6,594,5,8,0,35,.231,1.04,1.64
Logan Webb,657277,MLB Career,-,-,42,32,3.40,113,110,2,1,1,0,0,650.2,608,275,246,49,10076,28,154,1,598,.248,1.17,2.23
Ryan Walker,676254,MLB Career,-,-,5,3,3.23,49,13,0,0,3,1,2,61.1,61,25,22,8,1079,2,24,0,78,.262,1.39,1.18
Ross Stripling,548389,MLB Career,-,-,38,43,3.96,226,115,0,0,11,4,7,761.0,748,354,335,117,12200,11,175,9,692,.253,1.21,1.13
Taylor Rogers,573124,MLB Career,-,-,27,30,3.47,445,0,0,0,93,83,111,430.2,382,186,166,43,6848,31,120,20,509,.237,1.17,1.09
Tyler Rogers,643511,MLB Career,-,-,19,13,2.96,262,0,0,0,90,18,37,276.1,256,103,91,17,4133,18,64,2,207,.244,1.16,1.56
Luke Jackson,592426,MLB Career,-,-,18,8,4.10,286,0,0,0,49,19,33,305.1,309,151,139,33,5197,13,133,15,327,.261,1.45,1.39
Sean Hjelle,663546,MLB Career,-,-,3,3,6.17,23,0,0,0,1,0,1,54.0,71,44,37,6,990,5,21,1,59,.314,1.70,1.97
Kyle Harrison,690986,MLB Career,-,-,1,1,4.15,7,7,0,0,0,0,0,34.2,29,19,16,8,588,4,11,0,35,.221,1.15,0.42
Camilo Doval,666808,MLB Career,-,-,17,13,2.77,166,0,0,0,7,69,83,162.1,124,69,50,11,2711,12,65,10,204,.210,1.16,1.49
Anthony Desclafani,543101,MLB Career,-,-,54,56,4.20,180,169,3,3,0,0,0,942.2,944,480,440,135,14928,27,251,15,830,.261,1.27,0.99
Alex Cobb,502171,MLB Career,-,-,77,75,3.85,230,230,6,2,0,0,0,1311.1,1293,613,561,139,21053,47,380,15,1098,.256,1.28,1.69
Tristan Beck,663941,MLB Career,-,-,3,3,3.92,33,3,0,0,4,2,3,85.0,83,40,37,10,1298,2,21,2,68,.252,1.22,0.86
Owen White,669391,MLB Career,-,-,0,1,11.25,2,0,0,0,0,0,0,4.0,5,5,5,2,68,0,2,0,4,.313,1.75,1.67
Max Scherzer,453286,MLB Career,-,-,214,108,3.15,457,448,12,5,0,0,0,2834.2,2306,1063,991,328,45909,111,746,20,3367,.220,1.08,0.72
Josh Sborz,622250,MLB Career,-,-,11,11,5.08,137,1,0,0,24,1,9,147.0,132,87,83,22,2562,1,65,2,176,.237,1.34,0.86
Yerry Rodriguez,666720,MLB Career,-,-,0,1,7.36,14,1,0,0,1,0,1,14.2,21,12,12,1,296,0,6,1,16,.333,1.84,0.59
Jose Leclerc,600917,MLB Career,-,-,6,15,3.03,286,3,0,0,44,40,56,293.2,182,112,99,22,5162,17,168,7,384,.177,1.19,0.58
Jake Latz,656641,MLB Career,-,-,0,1,2.45,4,1,0,0,0,0,0,11.0,6,3,3,3,180,0,3,0,9,.158,0.82,0.53
Jonathan Hernandez,642546,MLB Career,-,-,10,7,3.86,98,2,0,0,19,4,10,109.2,99,54,47,11,1893,9,53,4,111,.241,1.39,1.35
Andrew Heaney,571760,MLB Career,-,-,46,48,4.49,171,154,1,1,2,0,2,854.1,825,453,426,151,14318,51,258,3,911,.250,1.27,0.76
Jon Gray,592351,MLB Career,-,-,69,64,4.45,205,204,2,1,0,0,0,1114.0,1084,587,551,144,18131,51,373,12,1125,.255,1.31,1.14
Nathan Eovaldi,543135,MLB Career,-,-,79,73,4.10,265,246,4,2,5,0,1,1401.2,1424,678,639,155,22961,41,403,16,1192,.262,1.30,1.15
Dane Dunning,641540,MLB Career,-,-,23,25,4.16,98,87,0,0,3,0,0,477.2,472,231,221,57,7724,30,173,0,426,.258,1.35,1.41
Jacob Degrom,594798,MLB Career,-,-,84,57,2.53,215,215,4,2,0,0,0,1356.1,1040,418,381,119,20994,21,307,13,1652,.210,0.99,1.06
Brock Burke,656271,MLB Career,-,-,12,10,3.68,111,6,0,0,21,0,7,168.2,157,79,69,28,2720,6,44,5,156,.246,1.19,0.91
Cody Bradford,674003,MLB Career,-,-,4,3,5.30,20,8,0,0,0,0,0,56.0,56,33,33,11,974,1,12,0,51,.259,1.21,0.73
Grant Anderson,681982,MLB Career,-,-,2,1,5.05,26,0,0,0,5,0,4,35.2,38,20,20,5,598,1,14,1,30,.277,1.46,0.97
Steven Wilson,621051,MLB Career,-,-,5,4,3.48,102,1,0,0,27,1,5,106.0,71,43,41,14,1812,6,47,1,110,.188,1.11,0.37
Matt Waldron,663362,MLB Career,-,-,1,3,4.35,8,6,0,0,0,0,0,41.1,39,20,20,9,673,0,12,0,31,.244,1.23,0.94
Robert Suarez,663158,MLB Career,-,-,9,4,2.99,71,0,0,0,19,1,7,75.1,44,26,25,8,1250,4,31,3,85,.168,1.00,1.01
Glenn Otto,657248,MLB Career,-,-,7,13,5.62,39,33,0,0,1,0,0,169.2,165,110,106,29,2869,15,76,0,146,.254,1.42,0.93
Joe Musgrove,605397,MLB Career,-,-,60,57,3.72,187,161,2,2,6,2,4,956.1,876,428,395,119,15020,67,239,10,949,.242,1.17,1.11
Adrian Morejon,670970,MLB Career,-,-,7,3,5.28,50,9,0,0,5,0,0,75.0,85,47,44,15,1257,1,23,1,73,.283,1.44,0.82
Ray Kerr,678061,MLB Career,-,-,1,1,5.06,29,0,0,0,0,0,1,32.0,28,20,18,6,515,1,13,1,38,.235,1.28,0.90
Alek Jacob,689690,MLB Career,-,-,0,0,0.00,3,0,0,0,0,0,0,3.0,0,0,0,0,47,0,1,0,5,.000,0.33,3.00
Logan Gillaspie,670810,MLB Career,-,-,1,1,4.10,28,0,0,0,2,0,3,26.1,34,15,12,3,453,3,8,0,18,.315,1.59,0.90
Jeremiah Estrada,669093,MLB Career,-,-,0,0,5.51,17,0,0,0,1,0,0,16.1,18,10,10,5,354,0,15,1,21,.281,2.02,0.50
Enyel De Los Santos,660853,MLB Career,-,-,13,4,4.20,165,3,0,0,21,1,7,184.1,165,95,86,21,3101,11,73,6,195,.242,1.29,0.95
Yu Darvish,506433,MLB Career,-,-,103,85,3.59,266,266,2,1,0,0,0,1624.1,1329,680,648,205,26261,74,522,8,1929,.221,1.14,0.90
Tom Cosgrove,676680,MLB Career,-,-,1,2,1.75,54,0,0,0,7,1,1,51.1,31,12,10,3,837,5,19,1,44,.173,0.97,0.66
Pedro Avila,658648,MLB Career,-,-,2,3,3.11,18,8,0,0,0,0,0,63.2,54,29,22,5,1134,7,31,0,69,.225,1.34,1.86
Bryan Woo,693433,MLB Career,-,-,4,5,4.21,18,18,0,0,0,0,0,87.2,75,44,41,13,1448,7,31,1,93,.227,1.21,0.88
Carlos Vargas,672841,MLB Career,-,-,0,0,5.79,5,0,0,0,0,0,0,4.2,5,3,3,2,81,1,4,0,7,.294,1.93,4.00
Justin Topa,623437,MLB Career,-,-,5,5,3.81,92,0,0,0,24,3,7,87.1,89,46,37,7,1378,3,23,6,78,.264,1.28,1.68
Trent Thornton,663423,MLB Career,-,-,8,16,4.53,131,36,0,0,7,0,2,286.1,295,160,144,48,4922,10,103,1,270,.265,1.39,0.77
Gabe Speier,642100,MLB Career,-,-,2,4,3.80,110,1,0,0,21,1,2,94.2,87,43,40,12,1460,4,26,4,99,.244,1.19,1.19
Tayler Saucedo,642048,MLB Career,-,-,3,2,4.26,85,0,0,0,4,1,4,76.0,69,38,36,6,1269,8,34,1,62,.242,1.36,2.16
Robbie Ray,592662,MLB Career,-,-,74,71,3.96,226,222,1,1,1,0,0,1228.0,1082,577,541,188,21389,41,520,19,1505,.235,1.30,0.88
Kaleb Ort,672391,MLB Career,-,-,2,4,6.27,47,2,0,0,2,1,3,51.2,63,42,36,10,927,3,25,3,51,.299,1.70,0.59
Andres Munoz,662253,MLB Career,-,-,7,13,2.88,139,0,0,0,44,18,26,137.2,99,50,44,9,2293,9,50,6,194,.199,1.08,1.31
Bryce Miller,682243,MLB Career,-,-,8,7,4.32,25,25,0,0,0,0,0,131.1,124,64,63,18,2095,7,26,0,119,.248,1.14,0.60
Darren Mccaughan,670766,MLB Career,-,-,0,0,7.07,5,1,0,0,0,0,0,14.0,15,13,11,4,259,1,7,0,12,.268,1.57,1.82
George Kirby,669923,MLB Career,-,-,21,15,3.37,56,56,1,0,0,0,0,320.2,314,128,120,35,4917,11,41,1,305,.254,1.11,0.94
Emerson Hancock,676106,MLB Career,-,-,0,0,4.50,3,3,0,0,0,0,0,12.0,13,6,6,1,194,0,3,0,6,.283,1.33,0.80
Marco Gonzales,594835,MLB Career,-,-,65,49,4.14,163,155,3,0,1,0,0,893.0,913,449,411,125,14216,30,238,6,665,.263,1.29,0.83
Logan Gilbert,669302,MLB Career,-,-,32,18,3.76,88,88,1,1,0,0,0,495.2,451,216,207,65,8062,14,113,5,491,.239,1.14,0.72
Luis Castillo,622491,MLB Career,-,-,62,64,3.54,181,181,1,0,0,0,0,1054.2,882,459,415,126,17450,36,360,6,1156,.225,1.18,1.38
Matt Brash,666374,MLB Career,-,-,13,8,3.63,117,5,0,0,33,4,9,121.1,111,51,49,6,2239,8,62,1,169,.244,1.43,1.07
Cody Bolton,675989,MLB Career,-,-,1,0,6.33,16,0,0,0,1,0,0,21.1,30,15,15,3,455,1,15,0,22,.333,2.11,0.86
Prelander Berroa,672860,MLB Career,-,-,0,0,0.00,2,0,0,0,1,0,0,1.2,0,0,0,0,41,0,3,0,3,.000,1.80,1.00
Eduard Bazardo,660825,MLB Career,-,-,1,0,3.31,26,0,0,0,0,0,0,35.1,28,13,13,6,558,2,10,0,29,.212,1.08,0.88
Ty Adcock,686654,MLB Career,-,-,0,0,3.45,12,0,0,0,0,0,0,15.2,11,7,6,4,207,0,0,0,11,.190,0.70,0.80
Ryan Yarbrough,642232,MLB Career,-,-,48,38,4.36,152,68,1,0,1,2,4,669.1,662,346,324,88,10556,52,145,11,534,.255,1.21,0.86
Alex Vesia,681911,MLB Career,-,-,10,7,3.40,165,1,0,0,37,3,7,148.1,113,68,56,18,2588,6,70,7,202,.205,1.23,0.43
Gus Varland,681402,MLB Career,-,-,1,1,6.64,16,0,0,0,1,0,0,20.1,27,18,15,3,403,1,16,1,20,.318,2.11,1.44
Blake Treinen,595014,MLB Career,-,-,36,31,2.86,449,7,0,0,87,79,104,503.0,424,184,160,34,7702,16,193,22,504,.229,1.23,1.84
Gavin Stone,694813,MLB Career,-,-,1,1,9.00,8,4,0,0,0,1,2,31.0,46,32,31,8,547,2,13,0,22,.338,1.90,1.30
Emmet Sheehan,686218,MLB Career,-,-,4,1,4.92,13,11,0,0,0,1,1,60.1,46,33,33,11,1031,1,26,0,64,.210,1.19,0.50
Evan Phillips,623465,MLB Career,-,-,11,11,3.38,182,1,0,0,30,27,32,191.2,141,83,72,17,3152,16,73,4,222,.203,1.12,1.02
Ryan Pepiot,686752,MLB Career,-,-,5,1,2.76,17,10,0,0,2,0,0,78.1,53,25,24,13,1391,6,32,0,80,.189,1.09,0.59
Bobby Miller,676272,MLB Career,-,-,11,4,3.76,22,22,0,0,0,0,0,124.1,105,53,52,12,1961,6,32,0,119,.226,1.10,1.19
Dustin May,669160,MLB Career,-,-,12,9,3.10,46,34,0,0,5,0,1,191.2,144,74,66,19,3010,13,57,0,174,.206,1.05,1.34
Kyle Hurt,669165,MLB Career,-,-,0,0,0.00,1,0,0,0,0,0,0,2.0,0,0,0,0,24,0,0,0,3,.000,0.00,2.00
Bryan Hudson,663542,MLB Career,-,-,0,0,7.27,6,0,0,0,0,0,0,8.2,12,7,7,1,164,1,4,0,7,.316,1.85,2.33
Michael Grove,675627,MLB Career,-,-,3,3,5.67,25,18,0,0,1,0,0,98.1,115,68,62,18,1618,3,29,1,97,.285,1.46,0.85
Brusdar Graterol,660813,MLB Career,-,-,11,9,2.80,181,5,0,0,41,11,16,183.1,154,66,57,10,2562,14,40,9,141,.231,1.06,2.43
Victor Gonzalez,624647,MLB Career,-,-,9,4,3.22,93,3,0,0,23,1,2,89.1,72,32,32,5,1357,9,31,3,86,.221,1.15,1.82
Tony Gonsolin,664062,MLB Career,-,-,34,11,3.19,79,71,0,0,0,1,2,375.2,264,141,133,44,6067,13,131,2,349,.195,1.05,0.78
J P Feyereisen,656420,MLB Career,-,-,8,4,2.31,83,2,0,0,22,4,8,89.2,47,30,23,8,1481,1,43,0,85,.153,1.00,0.68
Caleb Ferguson,657571,MLB Career,-,-,18,9,3.43,201,14,0,0,40,5,13,207.1,185,93,79,24,3603,19,82,3,247,.235,1.29,1.02
Walker Buehler,621111,MLB Career,-,-,46,16,3.02,115,106,3,1,1,0,1,638.1,499,237,214,68,10001,22,162,4,690,.212,1.04,1.10
Yency Almonte,622075,MLB Career,-,-,7,6,4.51,196,0,0,0,31,2,12,207.1,187,116,104,27,3442,16,87,4,195,.240,1.32,1.05
Ken Waldichuk,686610,MLB Career,-,-,6,11,5.28,42,29,0,0,0,1,1,175.2,181,112,103,29,3139,13,81,1,165,.266,1.49,0.80
Freddy Tarnok,676206,MLB Career,-,-,1,1,4.70,6,1,0,0,0,0,0,15.1,12,8,8,4,297,0,11,0,15,.211,1.50,0.50
Devin Sweet,682967,MLB Career,-,-,1,0,10.38,7,0,0,0,0,0,0,8.2,10,10,10,4,166,2,6,0,6,.286,1.85,0.90
