Player Name,Player ID,Date,Team,OPP,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,IBB,SO,NP-S,AVG,WHIP,GO/AO
ben joyce,690829,May 29,LAA,@ CWS,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,2,12-10,.250,1.00,0.00
ben joyce,690829,Jun 1,LAA,@ HOU,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,2,10-9,.250,1.00,0.00
ben joyce,690829,Jun 3,LAA,@ HOU,0,0,6.00,1,0,0,0,0,0,1.0,3,2,2,1,0,0,0,1,31-23,.385,1.67,0.33
ben joyce,690829,Jun 7,LAA,vs CHC,1,0,4.50,1,0,0,0,0,0,1.0,0,0,0,0,0,3,0,0,27-13,.313,2.00,1.33
ben joyce,690829,Jun 9,LAA,vs SEA,0,0,4.50,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,8-2,.313,2.25,1.33
ben joyce,690829,Sep 10,LAA,vs CLE,0,0,3.60,1,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,15-7,.263,2.00,0.67
ben joyce,690829,Sep 13,LAA,@ SEA,0,0,3.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,14-9,.227,1.67,0.57
ben joyce,690829,Sep 19,LAA,@ TB,0,0,2.57,1,0,0,0,0,0,1.0,0,0,0,0,0,2,0,2,23-12,.200,1.71,0.50
ben joyce,690829,Sep 21,LAA,@ TB,0,0,2.25,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,15-8,.179,1.50,0.67
ben joyce,690829,Sep 23,LAA,@ MIN,0,0,2.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,7-5,.161,1.33,0.64
ben joyce,690829,Sep 27,LAA,vs TEX,0,0,1.80,1,0,0,0,0,0,1.0,1,0,0,0,0,1,0,1,17-11,.176,1.40,0.73
gavin williams,668909,Jun 21,CLE,vs OAK,0,0,6.35,1,1,0,0,0,0,5.2,4,4,4,1,0,3,0,4,84-51,.200,1.24,0.33
gavin williams,668909,Jun 27,CLE,@ KC,0,0,2.84,1,1,0,0,0,0,7.0,1,0,0,0,1,1,0,6,92-70,.122,0.71,0.53
gavin williams,668909,Jul 3,CLE,vs ATL,0,1,3.79,1,1,0,0,0,0,6.1,7,4,4,3,0,2,0,2,91-67,.185,0.95,0.86
gavin williams,668909,Jul 8,CLE,vs KC,1,0,4.01,1,1,0,0,0,0,5.2,8,3,3,0,0,1,0,7,94-64,.225,1.09,0.82
gavin williams,668909,Jul 15,CLE,@ TEX,0,1,3.94,1,1,0,0,0,0,5.0,4,2,2,0,0,4,0,4,92-54,.226,1.18,0.85
gavin williams,668909,Jul 21,CLE,vs PHI,0,0,3.74,1,1,0,0,0,0,4.0,5,1,1,0,0,4,0,3,81-42,.238,1.31,0.77
gavin williams,668909,Jul 26,CLE,vs KC,0,0,3.35,1,1,0,0,0,0,4.0,3,0,0,0,0,2,0,5,87-56,.234,1.30,0.69
gavin williams,668909,Aug 1,CLE,@ HOU,0,1,3.38,1,1,0,0,0,0,5.0,4,2,2,0,0,4,0,6,93-53,.232,1.34,0.71
gavin williams,668909,Aug 7,CLE,vs TOR,0,0,2.90,1,1,0,0,0,0,7.0,1,0,0,0,1,1,0,12,90-61,.210,1.19,0.74
gavin williams,668909,Aug 12,CLE,@ TB,0,0,2.80,1,1,0,0,0,0,5.0,5,1,1,1,1,0,0,10,87-55,.215,1.17,0.78
gavin williams,668909,Aug 18,CLE,vs DET,0,1,3.02,1,1,0,0,0,0,5.0,6,3,3,1,0,2,0,4,90-59,.222,1.21,0.81
gavin williams,668909,Aug 24,CLE,vs LAD,0,1,3.52,1,1,0,0,0,0,4.1,8,7,5,1,0,2,0,5,96-63,.235,1.28,0.90
gavin williams,668909,Aug 29,CLE,@ MIN,0,0,3.46,1,1,0,0,0,0,1.0,0,0,0,0,1,1,0,0,30-15,.231,1.28,0.88
