Player Name,Player ID,Season,Team,LG,G,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,OPS,GO/AO
Korey Lee,686676,2022,HOU,AL,12,25,1,4,6,2,0,0,4,1,0,9,0,0,.160,.192,.240,.432,0.71
Korey Lee,686676,2023,CWS,AL,24,65,4,5,9,1,0,1,3,5,0,20,0,0,.077,.143,.138,.281,1.35
Carlos Perez,656024,2022,CWS,AL,7,18,0,4,6,2,0,0,2,0,0,2,0,0,.222,.222,.333,.555,0.71
Carlos Perez,656024,2023,CWS,AL,27,49,5,10,17,4,0,1,3,4,0,11,0,0,.204,.264,.347,.611,1.55
Romy Gonzalez,663853,2021,CWS,AL,10,32,4,8,11,3,0,0,2,1,0,11,0,0,.250,.273,.344,.617,1.17
Romy Gonzalez,663853,2022,CWS,AL,32,105,15,25,37,4,1,2,11,2,0,39,0,1,.238,.257,.352,.609,1.63
Romy Gonzalez,663853,2023,CWS,AL,44,93,11,18,35,4,2,3,14,2,0,36,7,0,.194,.208,.376,.584,1.56
Nicky Lopez,670032,2019,KC,AL,103,379,44,91,123,22,2,2,30,18,0,51,1,1,.240,.276,.325,.601,1.84
Nicky Lopez,670032,2020,KC,AL,56,169,15,34,45,8,0,1,13,18,0,41,0,5,.201,.286,.266,.552,1.85
Nicky Lopez,670032,2021,KC,AL,151,497,78,149,188,21,6,2,43,49,0,74,22,1,.300,.365,.378,.743,1.65
Nicky Lopez,670032,2022,KC,AL,142,436,51,99,119,12,4,0,20,29,0,63,13,3,.227,.281,.273,.554,1.57
Nicky Lopez,670032,2023,2 teams,-,94,225,32,52,69,8,3,1,25,26,0,40,6,2,.231,.326,.307,.633,1.88
Nicky Lopez,670032,2023,KC,AL,68,160,19,34,45,5,3,0,13,21,0,30,4,2,.213,.323,.281,.604,1.70
Nicky Lopez,670032,2023,ATL,NL,26,65,13,18,24,3,0,1,12,5,0,10,2,0,.277,.333,.369,.702,2.45
Yoan Moncada,660162,2016,BOS,AL,8,19,3,4,5,1,0,0,1,1,0,12,0,0,.211,.250,.263,.513,3.00
Yoan Moncada,660162,2017,CWS,AL,54,199,31,46,82,8,2,8,22,29,0,74,3,2,.231,.338,.412,.750,1.08
Yoan Moncada,660162,2018,CWS,AL,149,578,73,136,231,32,6,17,61,67,1,217,12,6,.235,.315,.400,.715,0.70
Yoan Moncada,660162,2019,CWS,AL,132,511,83,161,280,34,5,25,79,40,2,154,10,3,.315,.367,.548,.915,0.90
